,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway
551,3512270,1,41.0,12,15,"Пулковское шоссе, 30",Московская,8000
552,3500000,1,31.0,7,9,"проспект Науки, 30К1",Академическая,1500
553,3500000,1,26.0,1,4,"проспект Бакунина, 35",Площадь Александра Невского,1100
554,3500000,1,25.0,15,18,"улица Среднерогатская, 12к1",Звёздная,2000
555,16950000,5,159.0,4,5,"проспект Большой Петроградской стороны, 16",Спортивная,600
556,3550000,1,34.0,21,23,"улица Русановская, 16к3",Ломоносовская,15000
557,3597000,2,52.0,5,5,"улица Богайчука, 20",Рыбацкое,12000
558,3550000,1,26.0,9,16,"Пулковское шоссе, 14Д",Звёздная,1900
559,3590000,1,37.0,27,27,"Усть-Славянка тер., улица Славянская",Рыбацкое,2000
560,3550000,1,25.0,12,16,"Учительская улица, 19к3",Гражданский проспект,1500
561,3600000,1,27.0,7,24,"Парашютная улица, 42к2",Комендантский проспект,3000
562,3649980,1,29.0,7,17,"улица Среднерогатская, 20",Звёздная,1000
563,33667970,3,144.0,6,9,"переулок Басков, 2",Чернышевская,1500
564,4300000,1,44.0,2,5,"улица Ушинского, 20К2",Гражданский проспект,1500
565,3618240,1,38.0,17,19,"Комендантский проспект, 59к1",Комендантский проспект,10000
566,3646350,1,27.0,20,26,"Будапештская улица, 102",Купчино,1000
567,3625630,1,43.0,5,15,"Пулковское шоссе, 30",Московская,8000
568,3646590,1,45.0,1,15,"Пулковское шоссе, 30",Московская,8000
